symbol,name,marketcapital,pettm
ETP,"Energy Transfer Partners, L.P.",2.54096603E10,18.29
AVB,艾芙隆海湾社区,2.53417254E10,30.66
PPG,"PPG Industries, Inc.",2.52910575E10,21.3
CXO,康休,2.50052418E10,19.15
TWTR,Twitter,2.4982596042E10,
WP,"Worldpay, Inc. Class A",2.4954374E10,
ADM,Archer Daniels Midland,2.481412E10,11.01
PSA-N.CL,PUBLIC STORAGE,2.476E10,7.97
MCK,麦克森公司,2.4748306E10,201.06
SCCO,南方铜业,2.47451535E10,25.61
PAYX,沛齐,2.46875183E10,24.73
XLF,金融业ETF-SPDR,2.46742291E10,10.71
APH,安诺电子,2.46575997E10,33.67
IQV,"IQVIA Holdings, Inc.",2.45755556E10,21.85
BHI,贝克尔休斯,2.45418735E10,
PXD,先锋自然资源,2.44221035E10,18.63
RSG,共和废品处理,2.43687576E10,17.92
APC,阿纳达科石油,2.42306973E10,17.47
BCR,CR巴德,2.41448693E10,43.7
S,斯普林特,2.40127986E10,
NXPI,恩智浦,2.38736066E10,28.96
FTV,Fortive Corporation,2.38382727E10,22.59
ED,整合爱迪生,2.38310604E10,20.85
SPOT,Spotify,2.3806556848E10,
WIT,Wipro Limited,2.37114012E10,0.31
HLT,希尔顿,2.36934495E10,609.0
XLNX,赛灵思,2.3664622E10,40.31
IR,英格索兰,2.36100257E10,15.14
REPYY,西班牙雷普索尔YPF,2.354079039E10,
UAL,美联航,2.3320229E10,9.37
CMI,康明斯,2.32974451E10,18.32
COL,罗克韦尔柯林斯,2.32791199E10,23.26
ANDV,Andeavor,2.3197839E10,10.57
HRL,荷美尔食品,2.31747229E10,23.31
A,安捷伦科技,2.314332508033E10,36.51
MT,安赛乐米塔尔,2.3125679E10,
VO,VANGUARD INDEX FDS VANGUARD MID-CAP ETF,2.30246782E10,30.35
HSY,好时,2.2973996952E10,22.34
CRH,CRH水泥,2.29594933E10,9.18
VB,美国小盘股ETF-Vanguard,2.29356403E10,5.04
VEU,世界(除美国)ETF-Vanguard,2.28947859E10,
TROW,普信集团,2.27996261E10,20.07
MTB,M&T Bank Corporation,2.26101341E10,12.81
DLTR,Dollar Tree,2.25262365E10,12.84
CCE,可口可乐欧洲合伙,2.24484674E10,32.52
CCEP,Coca-Cola European Partners plc Ordinary Shares,2.24095788E10,32.46
IBKR,盈透证券,2.238402501711E10,47.5
RCL,皇家加勒比邮轮,2.23709742E10,12.76
WEC,"WEC Energy Group, Inc.",2.2358176E10,17.45
DFS,Discover Financial,2.22979753E10,9.79
DPS,澎泉思蓝宝,2.21542578E10,21.16
RENX,RELX ,2.21359925E10,9.3
VYM,红利股ETF-Vanguard,2.21231421E10,
IMO,Imperial Oil Limited,2.20529929E10,22.08
RCI,罗杰斯通信,2.20073817E10,21.63
LRCX,拉姆研究,2.19987146E10,10.75
DLR,"Digital Realty Trust, Inc.",2.19937893E10,80.77
SLF,永明金融,2.1952914E10,13.38
Q,昆泰IMS,2.17462716E10,
VTR,斗牛场不动产投资信托,2.15769936E10,1008.83
PPL,PPL Corporation,2.15339777E10,14.1
ZBH,"Zimmer Biomet Holdings, Inc.",2.14868646E10,12.26
FMS,Fresenius Medical Care AG,2.14652996E10,17.17
PCAR,帕卡,2.14343549E10,9.8
TIP,美国通胀债券ETF-iShares,2.1377352E10,25.58
ES,能源方案,2.13200772E10,20.57
AZO,AutoZone,2.12811911E10,16.16
SHV,美国短期国债ETF-iShares,2.125058E10,
KYO,京都陶艺,2.12259404E10,70.26
WPPGY,WPP plc - American Depositary Shares each representing five Ordinary Shares,2.1122602E10,30.97
PH,派克汉尼汾,2.11122892E10,18.72
GGP,General Growth Properties,2.11067504E10,36.55
IVW,标普500成长股ETF-iShares,2.108806E10,213.78
WCN,"Waste Connections, Inc.",2.08249487E10,28.53
TU,"泰勒斯
",2.071941E10,17.83
SHY,美国国债1-3年ETF-iShares,2.0701212E10,31.41
GOLD,Barrick Gold Corporation  (BC),2.06473917E10,
K,家乐氏,2.05714134E10,11.16
DTE,DTE能源,2.05538892E10,16.79
DIA,道指ETF-SPDR,2.0538411E10,10.31
HPE,慧与,2.05325993E10,11.29
IX,欧力士,2.05185052E10,19.46
TEVA,梯瓦制药,2.05018393E10,
PKX,浦项钢铁,2.04714689E10,39.66
WLTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2.03951575E10,37.28
CBS.WD,CBS Corporation,2.02791054E10,14.95
VCSH,美国短期公司债-Vanguard,2.02655111E10,
INFO,IHS Markit Ltd.,2.02600928E10,37.25
FMX,FEMSA,2.01875615E10,34.6
TEAM,Atlassian,2.0171128225E10,
USMV,美国最小波动率ETF-iShares,2.0164718E10,
HCN,HCN房产信托,2.01474118E10,21.76
SWK,"Stanley Black & Decker, Inc.",2.00381215E10,20.41
FE,FirstEnergy Corp.,1.97980495E10,
TSCDY,TESCO PLC(ADR),1.979E10,211.97
ETE,能源转换,1.97821691E10,16.11
VRSN,威瑞信,1.97555851E10,40.05
NTRS,Northern Trust,1.9744038E10,14.04
CLX,高乐氏,1.97056542E10,24.05
AMD,AMD,1.966459983E10,
SBAC,SBA Communications Corporation,1.96102769E10,
LVLT,第三级通讯,1.94511608E10,30.47
KEP,韩国电力,1.94001544E10,15.91
ROK,罗克韦尔自动化,1.93408305E10,38.07
LULU,露露柠檬,1.9302138651E10,72.07
PANW,Palo Alto网络,1.92892809E10,
SKM,韩国SK电信,1.92507775E10,12.44
O,Realty Income Corporation,1.90792732E10,54.79
SSL,南非萨索尔,1.90317377E10,7.05
LBTYA,自由全球,1.8998705368E10,
PLD-M.CL,PROLOGIS INC,1.896224E10,
CTAS,辛塔斯,1.8913036E10,44.45
PLD-L.CL,PROLOGIS INC,1.890178E10,
SYF,Synchrony Financial,1.88882694E10,8.34
DB,德意志银行,1.886496E10,10.16
MSI,摩托罗拉系统,1.88031733E10,
WY,惠好林地REIT,1.87899367E10,30.59
APTV,Aptiv PLC Ordinary Shares,1.87434188E10,18.43
VCIT,美国中期公司债-Vanguard,1.87013806E10,
XLV,医疗业ETF-SPDR,1.86866621E10,
IWB,罗素1000指数ETF-iShares,1.8663355E10,128.2
VRSK,"Verisk Analytics, Inc.",1.86284152E10,29.09
BXP,波士顿地产,1.8597725E10,34.7
CA,冠群电脑,1.85832919E10,52.28
BAP,Credicorp Ltd.,1.850854E10,4.51
IP,国际纸业,1.85017005E10,6.7
NUE,纽柯钢铁,1.84372581E10,8.97
TDG,Transdigm,1.84118412E10,21.44
FCX,Freeport McMoRan,1.81998628E10,5.79
MDY,标普中型股400指数ETF-SPDR,1.80709473E10,
