,0,1,2,3,4,5
0,002123.SZ,10,7,5,2,2
0,002124.SZ,21,17,17,13,11
0,002125.SZ,11,8,6,6,5
0,002126.SZ,3,3,1,1,1
0,002127.SZ,19,13,4,3,2
0,002128.SZ,3,1,1,1,1
0,002129.SZ,16,10,7,6,3
0,002130.SZ,8,4,2,1,1
0,002131.SZ,13,8,7,6,5
0,002132.SZ,3,1,1,1,1
0,002133.SZ,3,2,2,2,2
0,002134.SZ,13,12,11,10,10
0,002135.SZ,4,3,2,1,1
0,002136.SZ,8,6,2,2,2
0,002137.SZ,30,23,20,15,15
0,002138.SZ,13,5,3,2,1
0,002139.SZ,10,5,2,0,0
0,002140.SZ,2,0,0,0,0
0,002141.SZ,25,20,17,12,12
0,002142.SZ,3,2,1,0,0
0,002143.SZ,20,17,14,14,13
0,002144.SZ,2,1,1,1,1
0,002145.SZ,5,4,2,2,1
0,002146.SZ,11,7,3,2,1
0,002147.SZ,3,2,2,1,1
0,002148.SZ,14,10,8,7,7
0,002149.SZ,8,6,4,3,3
0,002150.SZ,6,2,2,2,1
0,002151.SZ,7,5,4,3,3
0,002152.SZ,7,5,2,1,1
0,002153.SZ,21,14,9,4,1
0,002154.SZ,2,0,0,0,0
0,002155.SZ,5,2,0,0,0
0,002156.SZ,15,8,4,4,4
0,002157.SZ,27,16,12,12,10
0,002158.SZ,10,9,8,8,8
0,002159.SZ,8,3,0,0,0
0,002160.SZ,11,6,6,6,5
0,002161.SZ,16,12,11,8,8
0,002162.SZ,6,4,4,4,4
0,002163.SZ,10,8,7,6,5
0,002164.SZ,18,14,13,12,12
0,002165.SZ,4,4,4,1,1
0,002166.SZ,1,0,0,0,0
0,002167.SZ,9,6,6,4,4
0,002168.SZ,6,5,4,2,1
0,002169.SZ,10,6,5,5,5
0,002170.SZ,15,11,9,7,7
0,002171.SZ,7,3,3,1,0
0,002172.SZ,7,6,6,6,6
0,002173.SZ,4,2,2,2,2
0,002174.SZ,12,8,3,3,3
0,002175.SZ,23,20,18,17,17
0,002176.SZ,11,6,3,3,3
0,002177.SZ,13,10,8,8,7
0,002178.SZ,12,8,5,4,4
0,002179.SZ,6,4,1,0,0
0,002180.SZ,15,12,9,5,3
0,002181.SZ,23,21,21,20,19
0,002182.SZ,4,2,2,2,2
0,002183.SZ,5,1,1,1,1
0,002184.SZ,26,23,19,16,16
0,002185.SZ,7,4,3,2,2
0,002186.SZ,1,1,1,1,1
0,002187.SZ,1,0,0,0,0
0,002188.SZ,16,0,0,0,0
0,002189.SZ,16,11,8,7,7
0,002190.SZ,15,9,9,9,9
0,002191.SZ,7,4,1,0,0
0,002192.SZ,26,22,19,16,15
0,002193.SZ,5,4,4,4,1
0,002194.SZ,26,6,5,4,4
0,002195.SZ,16,8,6,3,3
0,002196.SZ,6,3,2,2,2
0,002197.SZ,6,3,3,2,2
0,002198.SZ,7,5,4,2,2
0,002199.SZ,18,14,12,10,10
0,002200.SZ,11,4,3,3,2
0,002201.SZ,11,6,4,4,3
0,002202.SZ,20,11,8,5,4
0,002203.SZ,2,1,1,0,0
0,002204.SZ,2,1,1,1,1
0,002205.SZ,10,8,5,4,4
0,002206.SZ,7,3,1,1,0
0,002207.SZ,9,0,0,0,0
0,002208.SZ,26,17,16,14,11
0,002209.SZ,13,10,8,7,7
0,002210.SZ,11,8,5,4,3
0,002211.SZ,12,9,9,9,9
0,002212.SZ,11,7,6,5,4
0,002213.SZ,26,20,19,17,16
0,002214.SZ,8,6,5,3,3
0,002215.SZ,5,3,2,1,0
