id,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,index,Name_CN
6964,ALXN,"Alexion Pharmaceuticals, Inc.",111.7,24919893794.4,,1996.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn,NASDAQ,107,
6965,ALCO,"Alico, Inc.",30.23,225358452.85,,,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco,NASDAQ,108,
6966,ALGN,"Align Technology, Inc.",206.79,16539970146.99,,2001.0,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn,NASDAQ,109,
6967,ALIM,"Alimera Sciences, Inc.",0.83,58165468.74,,2010.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim,NASDAQ,110,
6968,ALYA,Alithya Group inc.,2.9,140448974.9,,,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/alya,NASDAQ,111,
6969,ALJJ,"ALJ Regional Holdings, Inc.",1.43,54377802.05,,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj,NASDAQ,112,
6970,ALKS,Alkermes plc,33.58,5217753987.46,,1991.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks,NASDAQ,113,
6971,ALLK,Allakos Inc.,42.75,1800333272.25,,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk,NASDAQ,114,
6972,ABTX,"Allegiance Bancshares, Inc.",35.98,785337366.94,,2015.0,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx,NASDAQ,115,
6973,ALGT,Allegiant Travel Company,119.6,1932713993.6,,2006.0,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt,NASDAQ,116,
6974,ALGR,Allegro Merger Corp.,9.84,187550400,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/algr,NASDAQ,117,
6975,ALGRR,Allegro Merger Corp.,0.3,0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/algrr,NASDAQ,118,
6976,ALGRU,Allegro Merger Corp.,10.33,0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/algru,NASDAQ,119,
6977,ALGRW,Allegro Merger Corp.,0.28,0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/algrw,NASDAQ,120,
6978,ALNA,"Allena Pharmaceuticals, Inc.",8.97,186228403.53,,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna,NASDAQ,121,
6979,AMMA,"Alliance MMA, Inc.",0.1837,3213804.3124,,2016.0,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/amma,NASDAQ,122,
6980,ARLP,"Alliance Resource Partners, L.P.",17.75,2310691787.25,,1999.0,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp,NASDAQ,123,
6981,LNT,Alliant Energy Corporation,42.39,10006478527.14,,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt,NASDAQ,124,
6982,AHPI,"Allied Healthcare Products, Inc.",2.0605,8269892.9885,,1992.0,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi,NASDAQ,125,
6983,AMOT,"Allied Motion Technologies, Inc.",43.8,415065531.6,,,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot,NASDAQ,126,
6984,ALQA,"Alliqua BioMedical, Inc.",2.32,11612087.2,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/alqa,NASDAQ,127,
6985,ALLO,"Allogene Therapeutics, Inc.",28.79,3497486098.09,,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/allo,NASDAQ,128,
6986,ALLT,Allot Ltd.,6.32,213074565.6,,2006.0,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt,NASDAQ,129,
6987,MDRX,"Allscripts Healthcare Solutions, Inc.",11.64,2033673369.48,,,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx,NASDAQ,130,
6988,ALNY,"Alnylam Pharmaceuticals, Inc.",80.88,8171335355.04,,2004.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny,NASDAQ,131,
6989,AOSL,Alpha and Omega Semiconductor Limited,10.43,248108172.48,,2010.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/aosl,NASDAQ,132,
6990,GOOG,Alphabet Inc.,1080.97,751777879858.06,,2004.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/goog,NASDAQ,133,谷歌
6991,GOOGL,Alphabet Inc.,1089.51,757717159480.98,,,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,NASDAQ,134,
6992,SMCP,AlphaMark Actively Managed Small Cap ETF,22.37,22370000,,,,,https://www.nasdaq.com/symbol/smcp,NASDAQ,135,
6993,ATEC,"Alphatec Holdings, Inc.",1.82,78646942.92,,2006.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atec,NASDAQ,136,ALPHATEC
